commit_sha,filename,maintainability_index,complexity,num_lines,num_functions,num_classes,avg_function_length,avg_num_parameters,nesting_levels,num_comments,duplicated_code_warnings,num_imports,cyclic_dependencies,is_bug,bug_type
38a1e64bbe42a7b66a77835e46e5f7725bccd18b,sklearn/utils/tests/test_param_validation.py,"3,09474E+16",111.0,783.0,55.0,6.0,"5,05455E+15",0.9272727272727272,3.0,18.0,0.0,8.0,0.0,0,NameError
6b965c600054f970bdf94017ecf2e0e6e0a4326b,django/conf/__init__.py,"4,66887E+15",79.0,346.0,23.0,4.0,"4,13043E+15","1,86957E+16",6.0,19.0,0.0,12.0,0.0,1,NameError
b1e5f0636ab2cc3e6949a051e37dc289616a4a4f,pandas/core/dtypes/cast.py,0.0,408.0,1966.0,50.0,0.0,6.02,1.86,8.0,182.0,0.0,18.0,0.0,0,NameError
8ae74eae556120d3be3d04dcbeabba3619c8cca3,django/core/handlers/wsgi.py,"4,74385E+15",54.0,216.0,16.0,2.0,34375,15625,5.0,10.0,0.0,10.0,0.0,1,NameError
5db028affbffa2dc7a957fcf73401830b43bf540,django/db/backends/postgresql_psycopg2/schema.py,"7,49073E+15",5.0,58.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0,NameError
37f680242458d21e8c3ff2c009e79d8c86f18293,sklearn/kernel_ridge.py,"5,44508E+15",14.0,237.0,5.0,1.0,6.4,2.4,3.0,4.0,0.0,8.0,0.0,0,NameError
99e3afe8a7bab9cd2d53322909627e5797907be2,pandas/tests/frame/methods/test_rename_axis.py,"6,37773E+15",21.0,111.0,4.0,1.0,12.5,2.0,0.0,11.0,0.0,3.0,0.0,0,NameError
e5c8699e9fc17ce79c6e9b62f157e2bd43e21155,sklearn/feature_extraction/text.py,"4,85919E+15",87.0,577.0,23.0,6.0,"5,6087E+15","2,86957E+15",6.0,37.0,0.0,7.0,0.0,1,NameError
b6c80e21c78ea86fb12b331f69881a586ed487e0,Lib/uuid.py,"2,83225E+16",139.0,780.0,47.0,2.0,"4,40426E+15","1,23404E+16",11.0,83.0,0.0,12.0,0.0,0,NameError
d61efb6363a159a783fa7bfa8610add892c7b83e,sklearn/model_selection/_search.py,"2,47338E+15",122.0,1806.0,35.0,5.0,"5,74286E+15","2,05714E+15",7.0,63.0,0.0,40.0,0.0,0,NameError
7772f0f247acca10312062acf342f17506baf8ce,pandas/io/formats/style_render.py,"2,42934E+16",301.0,2496.0,54.0,3.0,"7,37037E+14","3,35185E+16",11.0,44.0,0.0,13.0,0.0,1,NameError
039edee0bc1a729ee9b67a6f9a337f7cd03118d1,pandas/tests/window/test_groupby.py,"2,30845E+16",72.0,1321.0,63.0,4.0,"7,60317E+15","1,88889E+16",2.0,84.0,0.0,5.0,0.0,0,NameError
9835d5e3d32d72346295264cbdea0fded0b72576,examples/svm/plot_svm.py,"8,45575E+15",0.0,46.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,1,NameError
2918c3de74d1abe571b6c1eeb35e2899c39d880e,django/contrib/gis/tests/relatedapp/models.py,100.0,14.0,50.0,3.0,8.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1,NameError
58da23814505435352ec1bfa1c92bf47e566656e,sklearn/tests/test_cross_validation.py,"3,36376E+15",86.0,832.0,46.0,3.0,"7,8913E+15",0.6956521739130435,20.0,88.0,0.0,30.0,0.0,1,NameError
db971d1e63acdac0d00ac1c32636ceec904f48df,sklearn/metrics/_plot/roc_curve.py,"6,04278E+16",17.0,419.0,4.0,1.0,8.75,2.5,3.0,0.0,0.0,9.0,0.0,0,NameError
ba60432eda7f7ea0479eb63aae43ac680a2b8678,pandas/tests/plotting/test_boxplot_method.py,"2,27803E+16",105.0,757.0,54.0,2.0,"6,55556E+15","1,98148E+16",4.0,37.0,0.0,7.0,0.0,0,NameError
